product_id,revenue
306,39872.82
376,19799.22
147,4370.28
480,27389.34
202,16158.36
338,33619.56
358,32626.44
412,57498.39
79,18564.14
26,57229.52
72,52879.68
232,6963.84
77,32968.06
131,57005.52
198,32140.78
17,20167.42
28,42902.08
310,13617.90
37,5049.0
212,18319.55
404,13074.70
353,33542.1
489,7745.43
225,51600.64
83,30306.54
63,42337.68
333,32785.20
395,21994.24
45,31836.36
216,32719.04
174,44596.52
295,11202.36
213,42521.76
134,31615.02
274,6581.84
163,22226.82
223,9932.8
352,20503.75
36,1671.4
221,12008.70
362,42865.68
430,36866.08
102,53877.5
158,51485.04
460,47389.84
499,21899.40
265,11738.16
111,12738.06
459,38855.94
16,29453.24
207,6556.8
62,34795.68
123,18652.91
326,22875.48
385,51235.41
371,5346.64
492,54410.07
365,63835.75
157,4178.75
413,68086.26
308,34778.88
100,28271.36
183,75354.72
313,12257.73
150,7602.0
140,16874.10
248,5770.24
137,26204.16
421,34932.32
208,52585.20
392,15287.40
24,42620.31
191,39747.68
429,32179.68
25,35381.13
94,37287.18
122,45534.06
141,52874.62
218,12935.34
434,2480.36
49,30466.25
211,18066.00
465,33873.12
449,13657.2
64,64884.60
55,67854.24
148,77012.68
